date,open,high,low,close
2008/9/3,50.6,51.2,49.98,50
2008/9/4,49.93,50.6,48.81,48.99
2008/9/5,48,48.65,47.8,48.58
2008/9/8,50.5,51.95,50.4,51.95
2008/9/9,51.1,51.1,49.52,49.65
2008/9/10,49.45,50.45,49.2,49.86
2008/9/11,49,49.4,48.2,48.37
2008/9/12,49,49.1,47.8,48.87
2008/9/15,47.7,48.05,46.4,46.55
2008/9/16,44.81,45.8,44.5,45
2008/9/17,46.85,47.22,45.35,45.91
2008/9/18,44.3,44.79,43.75,44.5
2008/9/19,46.6,47.61,46.6,47.61
2008/9/22,48.8,48.85,47.8,48.5
2008/9/23,48,48.76,47.8,48.76
2008/9/24,48.4,48.76,48,48.46
2008/9/25,47.55,48.46,47.4,47.7
2008/9/26,47.7,47.8,46.33,46.6
2008/9/30,43.34,44.8,43.34,44.6
2008/10/1,45.4,45.72,45.12,45.6
2008/10/2,45.07,45.72,44.2,44.55
2008/10/3,44.33,44.78,43.44,44.73
2008/10/6,44,44,42.68,42.7
2008/10/7,41.6,42.95,41.51,42.95
2008/10/8,41.73,42.04,39.95,40.19
2008/10/9,40.31,41.14,40.1,40.24
2008/10/13,39,39.1,38.84,38.84
2008/10/14,41.55,41.55,41.32,41.55
2008/10/15,41,41,40.2,40.57
2008/10/16,39.15,39.15,39.15,39.15
2008/10/17,39.1,39.1,38,38.02
2008/10/20,37.75,38.4,37.12,38.34
2008/10/21,39.2,39.2,37.74,38.12
2008/10/22,37.4,38,36.79,36.79
2008/10/23,35.51,35.51,35.51,35.51
2008/10/24,32.6,32.6,32.34,32.34
2008/10/27,30.3,31.9,30.08,30.1
2008/10/28,30,32.2,29.1,32.19
2008/10/29,34.4,34.4,32,32.19
2008/10/30,33.08,34.44,32.53,34.44
2008/10/31,34.5,36.78,34.16,36.54
2008/11/3,36.54,36.91,35.35,36.69
2008/11/4,36.4,36.78,35.76,36.64
2008/11/5,37,37.29,36.03,36.8
2008/11/6,34.45,34.45,34.23,34.23
2008/11/7,32.6,34.67,32.56,34.39
2008/11/10,34.39,34.39,33.5,34.05
2008/11/11,33.25,34.02,33.18,33.46
2008/11/12,33.42,33.79,33,33.46
2008/11/13,32.5,32.5,31.51,31.6
2008/11/14,32.8,32.8,31.84,32
2008/11/17,31.5,32.25,31.45,32.2
